0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Type_Of_Ownership,Industry,Min_Salary,Max_Salary,Avg_Salary,Job_State,Same_State,Company_Age,Python,Excel,Hadoop,Spark,Aws,Tableau,Big_Data,Seniority,Hq_State
Data Scientist,75-131 ,3.3,Intellectual Ventures,"Bellevue, WA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,75,131,103, WA,1,20,1,1,0,0,0,0,0,,WA
Data Scientist,75-131 ,3.7,GovTech,"San Francisco, CA",1001 to 5000 employees,Government,Federal Agencies,75,131,103, CA,0,4,1,1,0,0,0,1,0,,
Data Scientist,75-131 ,4.3,Quick Base,"Cambridge, MA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103, MA,1,21,1,1,0,0,0,1,0,,MA
Data Analyst,75-131 ,4.8,Giving Assistant,"San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,75,131,103, CA,1,6,1,1,0,0,0,1,0,,CA
Data Scientist,75-131 ,3.7,Takeda,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,75,131,103, MA,0,239,1,0,0,1,0,0,0,,
Data Scientist,75-131 ,4.0,Netskope,"San Francisco, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103, CA,0,8,1,1,0,1,0,0,1,,CA
E-Commerce Data Analyst,75-131 ,3.5,iSeatz,"New Orleans, LA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103, LA,1,21,0,1,0,0,0,0,0,,LA
Data Analytics Engineer,75-131 ,3.7,Summa Health System,"Akron, OH",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,75,131,103, OH,1,94,0,1,0,0,1,1,0,,OH
Senior Data Scientist,75-131 ,3.5,Benson Hill,"Saint Louis, MO",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,75,131,103, MO,1,8,1,1,0,0,0,0,1,senior,MO
Product Data Scientist - Ads Data Science,75-131 ,4.1,Twitter,"San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,75,131,103, CA,1,14,1,0,0,0,0,0,0,,CA
Data Scientist,75-131 ,3.2,Postmates - Corporate HQ,"San Francisco, CA",1001 to 5000 employees,Company - Private,Express Delivery Services,75,131,103, CA,1,9,1,0,0,1,0,0,0,,CA
Data Scientist - Intermediate,75-131 ,4.5,Envision LLC,"Saint Louis, MO",201 to 500 employees,Company - Private,Staffing & Outsourcing,75,131,103, MO,1,26,1,1,0,0,0,0,0,,MO
Data Analyst,75-131 ,3.8,Swiss Re,"Fort Wayne, IN",10000+ employees,Company - Public,Insurance Agencies & Brokerages,75,131,103, IN,0,157,1,1,0,0,0,0,0,,
Machine Learning Engineer,75-131 ,4.5,Systems & Technology Research,"Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,75,131,103, MA,1,10,1,1,0,0,0,0,0,,MA
Data Scientist,79-131 ,3.5,iRobot,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,79,131,105, MA,1,30,1,0,0,0,0,0,0,,MA
Data Scientist,79-131 ,4.2,HG Insights,"Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,79,131,105, CA,1,10,1,1,1,1,0,0,0,,CA
Global Data Analyst,79-131 ,3.8,Dermalogica,"Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Consumer Products Manufacturing,79,131,105, CA,1,34,0,1,0,0,0,1,0,,CA
Data Engineer,79-131 ,3.7,Bayview Asset Management,"Coral Gables, FL",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,79,131,105, FL,1,25,1,0,0,0,0,0,0,,FL
Data Scientist,79-131 ,3.7,Via Transportation,"New York, NY",501 to 1000 employees,Company - Private,Internet,79,131,105, NY,1,8,1,0,0,0,0,1,0,,NY
Data Scientist,79-131 ,4.0,Grid Dynamics,"Santa Clara, CA",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,79,131,105, CA,0,14,1,1,0,0,0,1,1,,CA
Data & Machine Learning Scientist,79-131 ,3.3,Tempus Labs,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,79,131,105, IL,1,5,1,0,0,0,1,0,0,,IL
Data Scientist - Machine Learning,79-131 ,2.5,CareDx,"Brisbane, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,79,131,105, CA,1,-1,1,1,0,1,0,0,0,,CA
Data Engineer (Remote),79-131 ,4.2,IZEA,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,79,131,105, FL,1,14,1,1,1,1,1,0,0,,FL
"Data Scientist, Applied Machine Learning - Bay Area",79-131 ,3.3,Tempus Labs,"Redwood City, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,79,131,105, CA,0,5,1,0,0,0,1,0,0,,IL
